,Barack Obama*,"Luis Alberto Ramos, Jr.",Darcy Richardson,"Michael W.R.    Meyer, Jr.",Fred           Karger,Newt Gingrich,Mitt Romney,"Charles E. ""Buddy"" Roemer, III",Rick Santorum,Ron           Paul,Sheldon Yeu Howard,Donald James Gonzales,Jeremy Hannon,Laurie         Roth,Mad Max Riekse,Edward C. Noonan,Andrew Abe Diaz,Raymond Delmond Smith,Kent Mesplay,Jill             Stein,Roseanne Barr,Scott            Keller,Barbara Joy Waymire,Gary Johnson,Bill          Still,R. J.           Harris,Carl         Person,Roger           Gary,James         Ogle,Lee Wrights,Stephen Durham,"Ross C. ""Rocky"" Anderson",Stewart Alexander,Leon Leo Ray,Ronald Clinton Forbes,Shelley Upchurch,,,,,,
,DEM,DEM (W/I),DEM (W/I),DEM (W/I),REP,REP,REP,REP,REP,REP,REP (W/I),REP (W/I),REP (W/I),AI,AI,AI,AI (W/I),AI (W/I),GRN,GRN,GRN,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,PF,PF,PF,PF (W/I),PF (W/I),PF (W/I),,,,,,
Alameda,"146,888",5,33,27,256,"1,728","30,851",454,"2,743","5,504",1,2,0,664,396,638,1,1,138,"1,185",913,47,90,273,29,19,27,12,14,19,82,112,75,0,2,3,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.6%,4.2%,74.3%,1.1%,6.6%,13.3%,0.0%,0.0%,0.0%,39.1%,23.3%,37.5%,0.1%,0.1%,6.2%,53.0%,40.8%,8.9%,17.0%,51.5%,5.5%,3.6%,5.1%,2.3%,2.6%,3.6%,29.9%,40.9%,27.4%,0.0%,0.7%,1.1%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,186,0,0,0,0,5,121,0,10,25,0,0,0,0,1,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.0%,3.1%,75.2%,0.0%,6.2%,15.5%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,42.9%,57.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,"3,234",0,0,0,20,242,"4,446",15,312,587,0,0,0,28,51,51,0,0,5,10,10,10,3,22,4,2,0,0,1,2,2,4,3,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.4%,4.3%,79.1%,0.3%,5.5%,10.4%,0.0%,0.0%,0.0%,21.5%,39.2%,39.2%,0.0%,0.0%,20.0%,40.0%,40.0%,22.7%,6.8%,50.0%,9.1%,4.5%,0.0%,0.0%,2.3%,4.5%,22.2%,44.4%,33.3%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,"15,939",2,8,11,62,"1,048","17,966",143,"1,297","2,730",0,0,1,233,152,196,1,0,23,144,134,14,20,56,8,10,6,16,7,2,14,24,5,0,0,0,,,,,,
  Percent,99.9%,0.0%,0.1%,0.1%,0.3%,4.5%,77.3%,0.6%,5.6%,11.7%,0.0%,0.0%,0.0%,40.0%,26.1%,33.7%,0.2%,0.0%,7.6%,47.8%,44.5%,10.1%,14.4%,40.3%,5.8%,7.2%,4.3%,11.5%,5.0%,1.4%,32.6%,55.8%,11.6%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,"3,656",0,0,0,10,259,"4,957",41,354,714,0,0,0,42,51,51,0,0,13,17,22,7,12,34,2,2,3,0,1,2,4,2,1,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.2%,4.1%,78.2%,0.6%,5.6%,11.3%,0.0%,0.0%,0.0%,29.2%,35.4%,35.4%,0.0%,0.0%,25.0%,32.7%,42.3%,11.1%,19.0%,54.0%,3.2%,3.2%,4.8%,0.0%,1.6%,3.2%,57.1%,28.6%,14.3%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,727,0,0,0,1,97,"1,637",15,104,171,0,0,1,19,7,15,0,0,0,0,3,2,1,2,1,2,0,1,0,0,0,0,0,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.0%,4.8%,80.8%,0.7%,5.1%,8.4%,0.0%,0.0%,0.0%,46.3%,17.1%,36.6%,0.0%,0.0%,0.0%,0.0%,100.0%,22.2%,11.1%,22.2%,11.1%,22.2%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,"91,187",1,4,0,297,"2,223","45,258",435,"3,142","5,566",0,0,0,502,306,490,0,0,78,363,284,39,67,223,28,28,20,18,13,16,21,38,29,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.5%,3.9%,79.5%,0.8%,5.5%,9.8%,0.0%,0.0%,0.0%,38.7%,23.6%,37.8%,0.0%,0.0%,10.8%,50.1%,39.2%,8.6%,14.8%,49.3%,6.2%,6.2%,4.4%,4.0%,2.9%,3.5%,23.9%,43.2%,33.0%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,"1,705",0,0,0,4,92,"1,721",12,103,248,0,0,0,31,25,23,0,0,1,12,9,2,4,3,1,0,0,1,0,1,3,3,1,0,0,0,,,,,,
  Percent,100.0%,0.0%,0.0%,0.0%,0.2%,4.2%,78.9%,0.6%,4.7%,11.4%,0.0%,0.0%,0.0%,39.2%,31.6%,29.1%,0.0%,0.0%,4.5%,54.5%,40.9%,16.7%,33.3%,25.0%,8.3%,0.0%,0.0%,8.3%,0.0%,8.3%,42.9%,42.9%,14.3%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,"12,781",2,4,1,70,833,"19,376",97,"1,131","2,592",0,0,0,159,144,183,0,0,25,60,46,26,29,68,9,12,4,4,5,0,5,13,4,0,0,0,,,,,,
  Percent,99.9%,0.0%,0.0%,0.0%,0.3%,3.5%,80.4%,0.4%,4.7%,10.8%,0.0%,0.0%,0.0%,32.7%,29.6%,37.7%,0.0%,0.0%,19.1%,45.8%,35.1%,16.6%,18.5%,43.3%,5.7%,7.6%,2.5%,2.5%,3.2%,0.0%,22.7%,59.1%,18.2%,0.0%,0.0%,0.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
