,Hillary Clinton,Bernie Sanders,"Roque
De La Fuente",Henry Hewes,"Keith
Judd",Michael Steinberg,Willie Wilson,Kevin M. Moreau,Willie Felix Carter,Andrew D. Basiago,Ignació León Nuñez,"Doug
Terry","Ben
Carson","Ted 
Cruz",John R. Kasich,Donald Trump,Jim Gilmore,Joann Breivogel,Victor Williams,Troy Hugh Southern,John Dowell,James Alexander-Pace,James Orlando Ogle III,David P. Thomson,Donald J. Gonzales,Frederic Vidal,James Germalio,Alan Spears,Arthur Harris,"J.R. 
Myers",James Hedges,Robert Ornelas,Thomas Hoefling,Wiley Drake,Darryl Cherney,William Kreml,Kent Mesplay,"Jill 
Stein",Sedinam Moyowasifsa-Curry,Gary Johnson,John McAfee,Marc Feldman,"Cecil 
Ince",Steve Kerbel,Darryl W. Perry,Austin Petersen,Derrick M. Reid,Rhett White Feather Smith,Joy Waymire,"John 
Hale","Jack Robinson, Jr.",Gloria Estela La Riva,Lynn S. Kahn,Monica Moorehead
,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM (W/I),DEM (W/I),DEM (W/I),DEM (W/I),DEM (W/I),REP,REP,REP,REP,REP,REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),AI,AI,AI,AI,AI,AI,AI,GRN,GRN,GRN,GRN,GRN,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,PF,PF,PF
Alameda,"164,889","153,955",249,322,211,333,462,0,0,0,0,0,"1,973","4,807","7,614","29,097",556,0,1,0,1,0,0,1,0,0,0,336,275,170,176,217,143,174,129,42,38,"1,186",92,758,129,26,27,11,17,44,17,69,29,41,30,135,39,86
  Percent,51.5%,48.0%,0.1%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,4.5%,10.9%,17.3%,66.1%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.5%,18.4%,11.4%,11.8%,14.6%,9.6%,11.7%,8.7%,2.8%,2.6%,79.8%,6.2%,63.3%,10.8%,2.2%,2.3%,0.9%,1.4%,3.7%,1.4%,5.8%,2.4%,3.4%,2.5%,51.9%,15.0%,33.1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,113,137,0,1,0,0,1,0,0,0,0,0,5,7,19,123,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
  Percent,44.8%,54.4%,0.0%,0.4%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,3.2%,4.5%,12.3%,79.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,33.3%,0.0%,0.0%,66.7%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,"2,516","2,386",8,7,17,24,32,0,0,0,0,0,217,399,478,"4,868",34,0,0,0,0,0,0,0,0,0,0,8,17,12,7,15,19,14,0,2,0,12,3,54,10,0,0,1,1,5,0,7,4,4,2,4,1,4
  Percent,50.4%,47.8%,0.2%,0.1%,0.3%,0.5%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,3.6%,6.7%,8.0%,81.2%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8.7%,18.5%,13.0%,7.6%,16.3%,20.7%,15.2%,0.0%,11.8%,0.0%,70.6%,17.6%,61.4%,11.4%,0.0%,0.0%,1.1%,1.1%,5.7%,0.0%,8.0%,4.5%,4.5%,2.3%,44.4%,11.1%,44.4%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,"11,766","19,739",34,34,56,86,105,0,0,0,0,0,"1,231","1,928","1,828","20,079",90,0,0,0,0,0,0,0,0,0,0,101,83,59,43,41,41,69,19,8,9,114,7,213,30,17,3,4,1,15,4,26,12,7,5,15,6,28
  Percent,37.0%,62.0%,0.1%,0.1%,0.2%,0.3%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,4.9%,7.7%,7.3%,79.8%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,23.1%,19.0%,13.5%,9.8%,9.4%,9.4%,15.8%,12.1%,5.1%,5.7%,72.6%,4.5%,63.2%,8.9%,5.0%,0.9%,1.2%,0.3%,4.5%,1.2%,7.7%,3.6%,2.1%,1.5%,30.6%,12.2%,57.1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,"2,971","2,914",8,11,18,25,61,0,0,0,0,0,209,513,499,"5,763",25,0,0,0,0,0,0,0,0,0,0,18,14,17,7,11,21,13,5,0,0,21,2,74,10,3,0,3,0,7,0,4,2,1,3,1,2,6
  Percent,49.5%,48.5%,0.1%,0.2%,0.3%,0.4%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.0%,7.3%,7.1%,82.2%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,17.8%,13.9%,16.8%,6.9%,10.9%,20.8%,12.9%,17.9%,0.0%,0.0%,75.0%,7.1%,69.2%,9.3%,2.8%,0.0%,2.8%,0.0%,6.5%,0.0%,3.7%,1.9%,0.9%,2.8%,11.1%,22.2%,66.7%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,835,809,10,6,7,18,7,0,0,0,0,0,63,136,136,"1,712",10,0,0,0,0,0,0,0,0,0,0,4,3,8,4,9,5,1,0,0,0,4,2,9,5,1,0,0,0,0,1,1,0,1,1,2,0,1
  Percent,49.3%,47.8%,0.6%,0.4%,0.4%,1.1%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,3.1%,6.6%,6.6%,83.2%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.8%,8.8%,23.5%,11.8%,26.5%,14.7%,2.9%,0.0%,0.0%,0.0%,66.7%,33.3%,47.4%,26.3%,5.3%,0.0%,0.0%,0.0%,0.0%,5.3%,5.3%,0.0%,5.3%,5.3%,66.7%,0.0%,33.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,"103,333","77,862",146,186,189,274,287,0,0,0,0,0,"2,066","5,201","10,516","41,456",451,0,0,0,0,0,0,0,0,0,0,247,118,130,102,119,75,116,44,11,25,435,36,567,88,26,10,10,7,42,18,43,24,16,18,46,21,29
  Percent,56.7%,42.7%,0.1%,0.1%,0.1%,0.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,3.5%,8.7%,17.6%,69.5%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,27.2%,13.0%,14.3%,11.2%,13.1%,8.3%,12.8%,8.0%,2.0%,4.5%,78.9%,6.5%,65.2%,10.1%,3.0%,1.2%,1.2%,0.8%,4.8%,2.1%,4.9%,2.8%,1.8%,2.1%,47.9%,21.9%,30.2%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,"1,119","1,598",5,4,11,24,11,0,0,0,0,0,132,237,134,"1,895",13,0,0,0,0,0,0,0,0,0,0,29,10,8,7,5,9,5,2,0,1,14,0,17,4,1,0,1,2,2,0,2,0,0,1,4,2,3
  Percent,40.4%,57.6%,0.2%,0.1%,0.4%,0.9%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,5.5%,9.8%,5.6%,78.6%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,39.7%,13.7%,11.0%,9.6%,6.8%,12.3%,6.8%,11.8%,0.0%,5.9%,82.4%,0.0%,56.7%,13.3%,3.3%,0.0%,3.3%,6.7%,6.7%,0.0%,6.7%,0.0%,0.0%,3.3%,44.4%,22.2%,33.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,"12,492","12,620",31,27,46,75,134,0,0,0,0,0,"1,039","2,057","2,673","21,889",123,0,0,0,0,0,0,0,0,0,0,45,42,41,23,23,45,26,7,4,0,74,3,239,33,2,4,4,2,15,4,9,5,13,2,7,1,4
  Percent,49.1%,49.6%,0.1%,0.1%,0.2%,0.3%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,3.7%,7.4%,9.6%,78.8%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,18.4%,17.1%,16.7%,9.4%,9.4%,18.4%,10.6%,8.0%,4.5%,0.0%,84.1%,3.4%,72.0%,9.9%,0.6%,1.2%,1.2%,0.6%,4.5%,1.2%,2.7%,1.5%,3.9%,0.6%,58.3%,8.3%,33.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,"45,436","34,663",146,161,191,282,218,0,0,0,0,0,"2,622","7,092","5,148","50,476",218,0,0,0,0,0,0,0,0,0,0,200,136,89,93,146,90,98,13,9,9,130,11,333,64,12,3,7,13,45,22,23,15,12,12,35,5,20
  Percent,56.0%,42.7%,0.2%,0.2%,0.2%,0.3%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,4.0%,10.8%,7.9%,77.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,23.5%,16.0%,10.4%,10.9%,17.1%,10.6%,11.5%,7.6%,5.2%,5.2%,75.6%,6.4%,59.4%,11.4%,2.1%,0.5%,1.2%,2.3%,8.0%,3.9%,4.1%,2.7%,2.1%,2.1%,58.3%,8.3%,33.3%
