"","","","Voter Registration Statistics by County","","","","","",""
"","","","","October 9,  1990","","","","",""
"","","","","","American","","Peace  and","","Declines"
"","Eligible to  Registered","","","","","","","",""
"","","","","","Independent  Libertarian","","Freedom  Miscellaneous","","to State"
"County Name","Register","","to Vote  DemocratiC:  Republican","","","","","",""
"","","652,400","401,566","160,295","6,960",":2.,147","3,337 
,","3,393","68,702"
"Alameda","8:58,481","","","","","","","",""
"","","","",":m","","","","1","109"
"","","692","272","","8","4","","",""
"Alpine","99'","","","","","","","",""
"","","","S,S62","7,175","255","55","44","42","1,094"
"Amador","22,502","17,127","","","","","","",""
"","","","","43,309","1,447","","410","178","9,542"
"Butte","135,9'28","98,925","43,435","","","","","",""
"","","","","","","""""","","",""
"","","","8,582","","215","131","53","276","1,144"
"Calaveras","26,096","18,712","","8,311","","","","",""
"","","","3,168","3,013","","10","18","4","437"
"Colusa","10,182","6,743","","","","","","",""
"","","","","","""","1,319","1,270",",(I(]","43,626"
"Contra  Crf.lta","546,632","453,435","233,702","167,703","5,3lS","","","",""
"","","","","","276","","54","2","1,286"
"Del Norte","14,722","11,104","5,382","4,075","","""","","",""
"","","","","","","","","",""
"El  Dorado","95,343","72,004","32,284","33,024","""9","247","171","257","S,S<SZ"
"","","","","","","","","",""
"Fresno","415,876","285,282","153,754","108,886","3,311","632","842","291","17,566"
"","","10,577","4,828","4,642","152","33","22","4","8%"
"Glenn","16,171","","","","","","","",""
"","","","","","914","234","343","2))","6,667"
"Humboldt","87,291","70,885","40,912","21,795","","","","",""
"","","","18,956","12,112","516","78","170","..","3,057"
"Imperial","55,621","34,947","","","","","","",""
"","","10,504","4,24<\","5,111","153","21","34","""","84<l"
"","","","","","","","","",""
"","","","","","","","","",""
"I,,""","13,428","","1(17,127","102,326","3,733","680","'l36",",.5","16,713"
"K<m","348,687","231,600","","","","","","",""
"","","","16jl2b","11,888","S3I","30","9Q","7","'2,416"
"Kings","56,420","31,788","","","","","","",""
"uk,","","","14,0.18","","317","102","63 
,.","0","2,169"
"","41,883","26,331","","'~22","","","","",""
"","","","","","","24","","61","1,113"
""",,""'""","21,233","11,387","5,597","4,308","258","","","",""
"","","","","","","","16,555","8,564",". 279,133"
