"","","Voter Registration Statistics by County","","","","","","","","T"
"","","","","","","","","","",""
"","","","","October 5,  1992","","","","","",""
"","Voting ABe Registered","","","American","","","Peace and","","DecHned",""
"","to Vote","","","In~~ndent  Green  Libertarian","","","","","",""
"Couqty 
POPUlation","","~mocralic  Rel2ublican","","","","","Freedom  Misc:elllDeous  ~","","",""
"Alameda 
921,603","758,435","467,462","172,045","10,248","13,689","2,496","4,868","3,805","83,822 
11,873  •",""
"812 
Alpine","733","281","310","17","2","5","6","0","112",""
"Amador 
21,599","17,915","8,401","7,395","380","75","83","50","39","1,492",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"145,365 
Butte 
26,549 
CaIaveraa","112,424 
20,823","49,845 
9,280","46,133 
8,979","2,443 
375","624 
124","670 
190","546 
65","290 
29","1,781",""
"11,280 
Coluaa","7,173","3,312","3,110","138","7","21","20","61","504",""
"","","","","","","","","","","~"
"610,615 
Contra Costa","507,451","257,830","179,763","7,775","4,208","1,639","1,815","10,955","43,466",""
"16,505 
Del Norte","12,272","5,703","4,396","360","64","36","51","3","1,659",""
"100,257 
BI Dorado","81,200","33,822","36,696","1,618","378","372","229","289","7,796",""
"454,778 
Fresno","311,952","163,988","115,774","5,022","1,590","2,039","1,163","210","22,166",""
"17,207 
Glenn","11,145","5,002","4,793","22S","14","44","18","12","1,037",""
"89,514 
Humboldt","76,796","40,863","23,371","1,445","2,912","316","443","15","7,431",""
"Imperial 
66,030","39,797","21,289","13,762","677","23","114","188","35","3,709",""
"13,739 
Inyo","10,518","4,182","5,102","205","28","38","34","68","861",""
"Kern 
370,334","252,324","111,753","111,635","5,348","523","954","901","274","20,936",""
"","","18,739","13,494","78S","","66","127","6","3,443",""
"60,616 
Kinas","36,690","","","","30","","","","",""
"40,067 
Lake","29,470","15,548","10,216","556","174","135","89","0","2,752",""
"16,902 
Lassen","12,509","6,004","4,664","353","14","40","30","82","1,322",""
"Loa Angelea 
5,601,005","3,744,096","2,061,025","1,211,010","50,511","11,782","15,468","20,681","12,483","361,136",""
"Madera 
63,151","43,869","22,179","17,301","787","84","89","175","80","3,174",""
"175,688 
Marin","153,338","80,087","47,082","2,195","2,738","771","756","1","19,708",""
"11,625","10,139","4,338","4,216","230","118","SO","42","59","1,086",""
"Ma!\:j.","","","","","","","","","",""
"58,024 
M 
oclno","47,038","25,578","13,763","829","948","233","391","65","5,231",""
