"","","","","","Report of Registration, as of October 5, 1998","","","","","","",""
"","","","","","Registration by County","","","","","","",""
"","","Total","","","American","","","Natural","Peace &","","Miscellaneous","Declined to"
"County Name","Eligible","Registered","Democratic","Republican","Independent","Green","Libertarian","Law","Freedom","Reform","Non-Qualified","Affiliate"
"01 Alameda","956,701","714,134","415,208","151,664","11,411","10,523","3,166","4,884","4,072","2,279","4,877","106,050"
"02 Alpine","979","805","281","331","22","4","5","0","5","5","0","152"
"03 Amador","22,455","18,369","7,777","7,969","454","87","102","3","64","131","96","1,686"
"04 Butte","147,426","121,326","48,020","51,026","3,270","1,132","915","81","644","364","209","15,665"
"05 Calaveras","30,271","23,647","9,348","10,560","537","161","294","12","96","164","40","2,435"
"06 Colusa","10,701","7,289","3,088","3,248","176","11","26","1","37","16","28","658"
"07 Contra Costa","639,231","485,910","239,596","163,460","8,666","3,261","2,054","1,324","1,837","2,577","13,957","49,178"
"08 Del Norte","17,175","12,585","5,236","4,721","428","84","72","4","84","116","10","1,830"
"09 El Dorado","109,958","87,070","31,291","40,947","2,013","621","626","84","315","495","312","10,366"
"10 Fresno","459,643","316,607","148,172","128,616","5,959","959","1,415","388","1,198","1,173","101","28,626"
"11 Glenn","17,266","11,394","4,448","5,225","284","23","44","12","31","8","56","1,263"
"12 Humboldt","94,364","76,990","34,818","23,766","1,816","4,067","657","88","532","357","26","10,863"
"13 Imperial","66,302","44,798","23,889","13,490","890","56","158","57","342","87","17","5,812"
"14 Inyo","13,539","9,964","3,595","4,872","261","52","45","3","35","18","44","1,039"
"15 Kern","392,184","279,707","113,238","127,104","7,462","583","1,324","212","1,333","1,168","0","27,283"
"16 Kings","59,126","42,986","18,528","18,512","1,060","54","115","15","201","104","10","4,387"
"17 Lake","42,233","30,110","14,665","10,307","832","277","189","34","167","193","0","3,446"
"18 Lassen","16,667","14,252","5,585","5,971","541","36","76","15","72","94","152","1,710"
"19 Los Angeles","5,221,673","3,854,817","2,079,923","1,118,723","64,088","15,358","17,680","24,155","23,168","17,979","14,368","479,375"
"20 Madera","65,120","46,839","19,214","21,169","1,088","139","209","44","197","158","88","4,533"
"21 Marin","183,071","142,573","72,785","40,553","2,129","2,723","827","136","498","1,054","6","21,862"
"22 Mariposa","12,179","10,812","4,115","4,847","266","103","83","4","56","49","40","1,249"
"23 Mendocino","60,558","46,724","22,911","13,508","1,115","1,516","332","37","523","205","101","6,476"
"24 Merced","107,704","82,889","46,315","26,024","1,776","145","253","44","350","198","19","7,765"
"25 Modoc","7,450","5,885","2,295","2,654","187","14","33","4","28","16","1","653"
"26 Mono","7,393","5,760","1,865","2,593","171","70","59","2","36","18","0","946"
"27 Monterey","240,617","145,886","72,273","48,470","3,015","1,014","693","93","657","566","639","18,466"
"28 Napa","88,422","64,188","30,729","22,963","1,318","525","346","34","262","304","272","7,435"
"29 Nevada","69,174","56,732","19,111","26,117","1,121","1,297","506","30","216","678","0","7,656"
"30 Orange","1,728,682","1,173,732","376,694","597,000","21,596","3,993","7,358","4,140","3,992","9,354","1,522","148,083"
"31 Placer","162,400","136,236","47,171","66,112","2,772","807","874","75","454","1,045","24","16,902"
"32 Plumas","15,697","12,573","5,100","5,263","413","68","71","2","58","54","28","1,516"
"33 Riverside","946,273","597,078","232,205","275,033","13,021","1,388","3,617","1,781","2,223","3,961","4,545","59,304"
"34 Sacramento","801,791","600,499","287,484","217,800","12,463","3,238","2,783","1,158","2,639","4,252","556","68,126"
"35 San Benito","29,512","23,360","10,916","8,481","555","100","166","10","106","77","42","2,907"
"36 San Bernardino","1,045,811","664,022","287,647","273,418","16,467","1,773","2,962","1,414","2,907","4,838","3,177","69,419"
