"","","","REPORT OF REGISTRATION AS OF OCTOBER 24, 2016","","","","","","",""
"","","","","","American","","","Peace and","","No Party"
"County","Eligible","Registered","Democratic","Republican","Independent","Green","Libertarian","Freedom","Other","Preference"
"Alameda","1,069,959","888,664","510,429","107,482","16,864","7,259","4,652","2,636","6,432","232,910"
"Alpine","951","722","276","223","25","8","5","2","3","180"
"Amador","27,553","22,417","6,740","10,248","927","122","269","63","40","4,008"
"Butte","169,048","129,275","45,214","45,909","4,579","1,159","1,378","499","1,397","29,140"
"Calaveras","36,098","29,555","8,682","12,687","1,343","194","411","89","236","5,913"
"Colusa","12,496","8,638","2,867","3,566","239","21","60","21","5","1,859"
"Contra Costa","743,816","607,515","306,029","132,405","15,795","3,037","3,905","1,439","1,029","143,876"
"Del Norte","17,996","14,318","4,577","5,188","670","107","154","74","154","3,394"
"El Dorado","137,103","116,459","34,290","49,435","4,556","694","1,514","300","991","24,679"
"Fresno","583,238","437,423","172,805","156,520","11,964","1,452","2,787","1,377","4,371","86,147"
"Glenn","18,459","12,835","3,741","5,578","513","41","116","43","22","2,781"
"Humboldt","105,164","82,917","37,751","19,615","2,634","2,052","834","359","161","19,511"
"Imperial","97,282","70,189","34,987","13,691","1,595","172","362","348","347","18,687"
"Inyo","13,771","10,167","3,182","4,214","421","55","93","26","52","2,124"
"Kern","505,303","370,804","132,014","137,865","12,340","975","2,890","1,320","362","83,038"
"Kings","80,492","52,124","17,767","22,948","1,342","99","378","151","138","9,301"
"Lake","48,487","34,706","13,539","9,491","1,392","403","383","187","43","9,268"
"Lassen","16,295","14,280","3,090","7,101","775","56","127","45","95","2,991"
"Los Angeles","6,222,266","5,253,427","2,722,087","975,015","113,699","23,048","30,681","31,674","41,648","1,315,575"
"Madera","87,254","58,086","19,133","23,852","1,834","186","406","209","240","12,226"
"Marin","181,279","160,795","90,320","26,599","3,419","1,466","940","240","486","37,325"
"Mariposa","14,954","10,975","3,179","4,913","457","95","116","35","146","2,034"
"Mendocino","63,741","51,061","24,551","10,527","1,726","1,253","486","260","178","12,080"
"Merced","154,971","99,145","44,629","29,366","3,011","396","645","262","78","20,758"
"Modoc","7,385","5,166","1,188","2,648","247","23","42","13","8","997"
"Mono","9,414","6,471","2,284","2,095","257","47","53","24","5","1,706"
"Monterey","242,584","185,786","93,697","42,098","4,461","1,017","1,169","622","203","42,519"
"Napa","93,686","76,833","36,115","18,712","2,331","644","607","209","400","17,815"
"Nevada","77,443","68,829","25,138","24,072","2,412","803","811","185","13,341","2,067"
"Orange","2,009,188","1,535,691","522,325","580,398","39,506","5,125","13,142","3,773","3,878","367,544"
"Placer","264,101","226,249","64,795","100,880","6,120","910","3,316","471","838","48,919"
"Plumas","16,052","11,985","3,646","5,258","580","64","125","39","1","2,272"
"Riverside","1,438,117","1,019,130","387,704","366,210","31,852","2,861","7,284","3,479","5,533","214,207"
"Sacramento","989,090","772,865","339,658","215,591","23,529","3,884","6,738","5,325","1,385","176,755"
"San Benito","33,990","28,224","13,335","8,039","806","121","184","81","31","5,627"
"San Bernardino","1,308,522","888,019","357,645","284,010","30,227","2,831","6,206","3,676","4,242","199,182"
"San Diego","2,191,191","1,652,570","609,315","501,465","54,034","6,866","14,747","4,372","4,249","457,522"
"San Francisco","646,945","512,723","296,772","38,279","8,926","4,797","3,100","1,398","1,071","158,380"
"San Joaquin","442,435","334,253","146,465","105,634","8,465","990","2,121","1,146","1,062","68,370"
"San Luis Obispo","207,947","168,257","59,178","63,506","5,079","1,075","1,610","353","1,794","35,662"
"San Mateo","503,843","395,928","205,280","67,049","8,303","2,091","2,327","888","831","109,159"
"Santa Barbara","290,071","222,983","96,618","61,721","5,727","1,280","1,672","525","1,401","54,039"
"Santa Clara","1,193,225","875,176","411,479","171,281","18,149","3,714","5,856","2,169","1,326","261,202"
"Santa Cruz","190,283","157,186","89,490","24,044","3,390","1,837","1,364","446","827","35,788"
"Shasta","134,078","102,000","25,268","48,397","4,036","417","1,080","330","271","22,201"
"Sierra","2,614","2,257","653","944","125","19","28","2","43","443"
"Siskiyou","34,631","27,619","8,655","10,743","1,266","211","315","115","45","6,269"
"Solano","289,271","224,930","107,996","52,536","6,589","900","1,596","658","1,098","53,557"
"Sonoma","350,393","273,432","145,815","54,171","6,600","3,222","2,173","607","1,018","59,826"
"Stanislaus","336,794","241,144","94,868","90,116","7,070","679","1,701","733","2,414","43,563"
"Sutter","60,761","45,665","14,401","18,955","1,485","120","370","155","725","9,454"
"Tehama","43,753","32,555","8,903","14,541","1,585","99","328","98","84","6,917"
"Trinity","11,312","8,079","2,708","2,636","406","111","100","37","1,133","948"
"Tulare","260,926","154,000","50,542","65,260","4,919","464","1,129","378","177","31,131"
"Tuolumne","41,222","31,402","9,765","13,593","1,273","194","311","0","139","6,127"
"Ventura","550,625","442,951","182,805","143,105","10,778","1,873","3,374","1,063","5,181","94,772"
"Yolo","147,156","111,222","54,441","23,496","3,047","862","888","420","652","27,416"
"Yuba","48,269","33,694","9,591","12,477","1,677","146","346","191","80","9,186"
"State Total","24,875,293","19,411,771","8,720,417","5,048,398","507,377","94,647","139,805","75,640","114,140","4,711,347"
"Percent","","78.04%","44.92%","26.01%","2.61%","0.49%","0.72%","0.39%","0.59%","24.27%"
