"","","","REPORT OF REGISTRATION AS OF OCTOBER 22, 2018","","","","","","","",""
"","","","","","American","","","Peace and","","","No Party"
"County","Eligible","Registered","Democratic","Republican","Independent","Green","Libertarian","Freedom","Unknown","Other","Preference"
"Alameda","1,089,154","881,491","490,683","97,377","16,413","6,701","4,660","2,688","30","5,858","257,081"
"Alpine","939","758","312","205","25","5","6","2","0","3","200"
"Amador","27,117","22,305","6,423","9,812","942","102","295","61","6","51","4,613"
"Butte","171,771","122,741","42,843","41,955","4,241","936","1,382","383","322","1,197","29,482"
"Calaveras","36,101","29,591","8,099","12,264","1,345","188","447","94","87","234","6,833"
"Colusa","12,552","8,792","2,743","3,464","254","20","71","21","0","6","2,213"
"Contra Costa","759,693","621,309","303,591","123,425","16,057","2,944","4,191","1,624","1,135","998","167,344"
"Del Norte","18,039","14,150","4,314","5,037","628","106","150","83","1","116","3,715"
"El Dorado","141,268","121,192","34,837","48,765","4,825","676","1,705","301","81","925","29,077"
"Fresno","597,497","456,891","172,955","151,844","12,678","1,458","3,125","1,575","41","4,283","108,932"
"Glenn","18,520","12,730","3,572","5,386","485","35","131","37","0","24","3,060"
"Humboldt","105,521","78,518","34,431","17,879","2,498","1,855","824","357","191","237","20,246"
"Imperial","101,197","69,728","33,144","12,821","1,552","164","373","366","387","399","20,522"
"Inyo","13,689","10,036","3,040","3,993","418","54","101","25","1","48","2,356"
"Kern","518,711","375,881","126,062","132,595","12,447","979","3,244","1,383","1,489","519","97,163"
"Kings","80,450","52,631","17,034","21,463","1,381","111","434","147","244","147","11,670"
"Lake","49,469","32,653","12,354","8,709","1,297","325","360","164","1","49","9,394"
"Lassen","16,571","14,332","2,863","6,958","763","48","150","44","5","84","3,417"
"Los Angeles","6,230,147","5,280,658","2,644,567","899,923","111,257","22,010","31,677","28,982","20,783","40,172","1,481,287"
"Madera","89,818","57,418","18,129","22,114","1,786","161","437","204","182","238","14,167"
"Marin","181,925","160,944","89,425","23,848","3,567","1,315","1,022","248","256","484","40,779"
"Mariposa","14,933","10,853","3,051","4,617","417","85","121","30","9","138","2,385"
"Mendocino","64,399","49,411","23,342","9,767","1,652","1,058","511","219","389","152","12,321"
