"","Voter  Registration  Statistics by  County","","","",""
"","","","American","Peace and",""
"County","Democratic","Rel2ublican","Inde~ndent","Freedom 
Non-Partisan 
Libertarian 
Registered",""
"AJameda","394,508","155,021","6,631","2,035 
3,243 
67,7en 
629,230",""
"Alpine","266","283","8","4 
6 
110 
677",""
"Amador","8,060","6,650","244","48 
38 
1,102 
16,142",""
"Butte","41,214","40,667","1,364","380 
526 
9,012 
93,163",""
"Calaveras","8,307","8,138","215","84 
46 
1,380 
18,170",""
"Colusa","3,158","2,937","95","10 
21 
429 
6,650",""
"Contra  Costa","221,998","160,680","5,046","1,218 
1,200 
41 ,660 
431,802",""
"Del  Norte","5,613","4,011","304","1,382 
11,388 
25 
53",""
"El  Dorado","31,348","31,531","1,013","234 
169 
6,223 
70,518",""
"Fresno","150,360","104,519","3,241","5en 
780 
17,242 
276,734",""
"Glenn","4,739","4,499","136","28 
20 
867 
10,289",""
"Humboldl","37,750","20,645","862","215 
335 
6,071 
65,878",""
"Imperial","19,316","12,293","532","71 
166 
3,193 
35,571",""
"loya","4,001","4,885","143","19 
26 
793 
9,867",""
"Kern","104,310","97,574","3,653","16,320 
223,172 
643 
672",""
"Kings","16,568","11,482","528","29 
85 
2,295 
30,987",""
"Lake","13,542","9,233","295","63 
2,073 
25,300 
94",""
"Lassen","5,394","4,117","2.16","2.1 
21 
1,070 
10,861",""
"Los  Angeles","1,867,425","1,195,247","33,078","12,086 
16,245 
278,428 
3,402,509",""
"Madera","18,551","14,072","482","59 
91 
2,436 
35,691",""
"Marin","70,142","45,822","1,336","16,205 
134,655 
686 
464",""
"Mariposa","3,908","3,756","160","42 
36 
869 
8,771",""
"Mendocino","21,704","13,068","507","185 
343 
4,629 
40,436",""
"Merced","34,642","21,654","901","5,103 
152 
208 
62,660",""
"Modoc","2,473","2r163","103","447 
5,425 
21 
18",""
"Mono","1,841","2,411","98","30 
24 
814 
5,218",""
"Monterey","66,691","49,241","1,939","418 
495 
15,544 
134,328",""
"Napa","29,452","22,833","736","167 
159 
4,867 
58,214",""
"Nevada","18,657","21,980","538","369 
182 
4,831 
46,557",""
"Orange","368,641","593,403","10,952","5,335 
2,775 
93,258 
1,074,364",""
"Placer","40,587","40,918","1,113","375 
246 
7,631 
90,870","•"
"Plumas","5,477","4,210","169","1,061 
10,982 
29 
36",""
"","","","","",""
"","","","","",""
"Riverside 
Sacramento","204,808 
296,271","219,986 
191,995","5,713 
6,021","1,346 
1,069 
35,407 
468r129 
1,473 
1,597 
42,070 
539,427",""
"San  Benito","7,302","5,546","193","1,428 
14,545 
37 
39",""
"San  Bernardino","240,000","257,950","7,881","1,547 
43,4en 
1,551 
552,421",""
"San  Diego","445,725","542,798","16,044","1,145,en7 
5,182 
4,367 
131,811",""
"San  Francisco","2.'3,072","72,381","4,095","1,867 
2,851 
55,518 
389,784",""
"San  Joaquin","104,164","73,764","2,262","517 
12,997 
194,107 
403",""
"San  Luis  Obispo","44,015","52r138","1,629","477 
412 
11,971 
110,842",""
"San  Mateo","167,105","l08r1en","3,695","1,161 
1,027 
35,649 
317,029",""
"Santa  Barbara","73 l4Q","75,122","2,283","20,093 
172,133 
615 
680",""
"","r","","","",""
"Santa  Clara","344,971","257,135","8,242","3,32.1 
2,292 
79,406 
695,369",""
"Santa  Cruz","69,439","36,246","1rl4Q","814 
940 
13,726 
122,505",""
"Shasta","31,966","30,710","1,182","181 
70,164 
5,937 
188",""
"Sierra","1,056","816","31","2,179 
15 
3 
258",""
"Siskiyou","11,542","8,536","42.1","52 
94 
2,053 
22,700",""
"Solano","78,647","47,882","1,963","362 
432 
15,452 
144,738",""
"Sonoma","115,766","71,524","2,331","1,168 
19,530 
211,073 
754",""
"Stanislaus","79,885","53,713","1,933","295 
422 
9,802 
146,050",""
"Sutter","10,989","13,628","350","67 
79 
1,848 
26,961",""
"Tehama","11,430","9,095","531","2,134 
122 
55 
23,367",""
"Trinity","3,598","2,852","191","53 
39 
7,567 
834",""
"Tulare","55,918","47,632","1,809","280 
366 
8,749 
114,754",""
"Tuolumne","12,734","10,350","316","68 
77 
2,164 
25,709",""
"Ventura","122,093","141,591","3,691","298,724 
966 
957 
29,426",""
"Yolo","36,620","21,781","812","66,871 
220 
7,212 
226",""
"Yuba","10,087","8,425","466","21,075 
72 
90 
1,935",""
"","","","","","•"
