"","Eligible to","Total","","","American","","","Natural","Peace &","","Miscellaneous","Declined to"
"County Name","Register","Registered","Democratic","","Republican Independent","","Green Libertarian","Law","","Freedom ReformNon-Qualified","","Affiliate"
"Alameda","947,283","680,890","397,446","147,878","10,643","9,573","2,861","5,098","3,851","2,346","4,306","96,888"
"Alpine","976","832","299","340","22","4","7","0","6","5","0","149"
"Amador","22,294","17,891","7,648","7,763","433","81","93","3","62","140","79","1,589"
"Butte","146,804","118,696","47,107","50,476","3,128","1,014","837","80","626","383","202","14,843"
"Calaveras","29,929","23,347","9,271","10,490","537","159","280","11","95","168","35","2,301"
"Colusa","10,617","7,037","3,025","3,129","166","10","24","0","34","17","25","607"
"Contra Costa","633,848","492,730","243,205","166,848","8,767","3,277","2,008","1,463","1,882","2,800","13,743","48,737"
"Del Norte","16,907","13,260","5,565","4,911","462","82","72","5","98","135","11","1,919"
"El Dorado","109,127","84,115","30,538","39,775","1,903","592","564","79","303","510","294","9,557"
"Fresno","457,397","310,409","144,919","126,858","5,853","956","1,384","409","1,196","1,264","100","27,470"
"Glenn","17,212","11,227","4,418","5,165","273","21","39","10","30","7","56","1,208"
"Humboldt","94,050","77,021","35,523","24,049","1,790","3,735","609","91","533","381","0","10,310"
"Imperial","65,974","44,793","23,893","13,677","884","48","153","60","338","85","13","5,642"
"Inyo","13,523","9,757","3,547","4,801","245","46","45","2","31","18","42","980"
"Kern","389,416","272,215","110,362","124,464","7,199","562","1,222","195","1,308","1,194","0","25,709"
"Kings","58,608","41,723","18,226","17,736","1,039","50","102","13","194","108","10","4,245"
"Lake","42,168","29,355","14,369","10,171","775","218","179","34","161","200","0","3,248"
"Lassen","16,290","14,259","5,644","5,986","536","36","75","13","65","100","142","1,662"
"Los Angeles","5,192,309","3,772,592","2,035,585","1,106,879","61,980","14,623","16,642","25,427","22,743","18,893","13,775","456,045"
"Madera","64,289","46,174","19,190","20,831","1,050","136","187","45","196","168","89","4,282"
"Marin","181,850","140,774","72,112","40,574","2,062","2,626","790","138","500","1,104","6","20,862"
"Mariposa","12,179","10,428","4,008","4,683","247","95","72","4","55","48","40","1,176"
